"","x","y"
"C",4.75761865079403,5.38548931945115
"u.9.6",4.72321854351321,5.09181024914142
"u.9.5",4.27002941840328,4.13155942922458
"u.9.4",3.81684029329335,3.17130860930774
"u.9.3",3.36365116818342,2.21105778939091
"i7",3.45687010092661,1.92474719602615
"u.9.3.1",3.36365116818342,2.21105778939091
"u.9.2",2.91046204307349,1.25080696947407
"u.9.1",2.45727291796356,0.290556149557233
"i10",1.85731215402484,0.0779205677099526
"u.5.1",0.745324240997434,2.1240668441169
"u.5.2",2.22446378786117,3.35092723602429
"u.8.3",2.67710099404212,3.29592889989726
"u.8.2",2.42175190680427,2.30760750069749
"u.8.1",2.16640281956643,1.31928610149771
"u.1.3",2.32432250476753,1.43686323426664
"u.1.4",3.45722787897103,1.26960798399523
"u.1.5",4.59013325317452,1.10235273372382
