"","X_charge","Y_charge"
"C",4.75761865079403,5.38548931945115
"i1",6.11309699248523,5.81180876819417
"i2",9.54114865278825,6.45923916716129
"i3",9.69091277569532,1.93667266517878
"i4",9.97545126127079,4.32043716777116
"i5",1.0815430036746,9.4902172870934
"i6",2.86576837301254,5.5858726403676
"i7",3.45687010092661,1.92474719602615
"i8",4.76867394289002,7.04947888385504
"i9",8.93039984395728,8.32457742188126
"i10",1.85731215402484,0.0779205677099526
"u.1.1",0.0585117563605309,1.77137373480946
"u.1.2",0.367485949325121,1.72575866655362
"u.1.3",0.676460142289712,1.68014359829778
"u.1.4",0.985434335254302,1.63452853004194
"u.1.5",1.29440852821889,1.5889134617861
"u.1.6",1.60338272118348,1.54329839353026
"u.1.7",1.91235691414807,1.49768332527442
"u.1.8",2.22133110711266,1.45206825701859
"u.1.9",2.53030530007725,1.40645318876275
"u.1.10",2.83927949304184,1.36083812050691
"u.1.11",3.14825368600643,1.31522305225107
"u.1.12",3.45722787897103,1.26960798399523
"u.1.13",3.76620207193562,1.22399291573939
"u.1.14",4.07517626490021,1.17837784748355
"u.1.15",4.3841504578648,1.13276277922771
"u.1.16",4.69312465082939,1.08714771097187
"u.1.17",5.00209884379398,1.04153264271603
"u.1.18",5.31107303675857,0.995917574460195
"u.1.19",5.62004722972316,0.950302506204356
"u.1.20",5.92902142268775,0.904687437948517
"u.1.21",6.23799561565234,0.859072369692678
"u.1.22",6.54696980861693,0.813457301436839
"u.1.23",6.85594400158152,0.767842233181
"u.2.1",7.16229397803545,6.23641076963395
"u.2.2",7.31690767133841,5.97556478431216
"u.2.3",7.47152136464138,5.71471879899036
"u.2.4",7.62613505794434,5.45387281366857
"u.2.5",7.7807487512473,5.19302682834677
"u.2.6",7.93536244455026,4.93218084302498
"u.2.7",8.08997613785323,4.67133485770319
"u.2.8",8.24458983115619,4.41048887238139
"u.2.9",8.39920352445915,4.1496428870596
"u.2.10",8.55381721776212,3.88879690173781
"u.2.11",8.70843091106508,3.62795091641601
"u.2.12",8.86304460436804,3.36710493109422
"u.2.13",9.01765829767101,3.10625894577242
"u.2.14",9.17227199097397,2.84541296045063
"u.2.15",9.32688568427693,2.58456697512884
"u.2.16",9.48149937757989,2.32372098980704
"u.2.17",9.63611307088286,2.06287500448525
"u.3.1",2.38338666735217,7.01147550484166
"u.3.2",2.46467793080956,6.70623455941677
"u.3.3",2.54596919426695,6.40099361399189
"u.3.4",2.62726045772433,6.095752668567
