"","X_charge","Y_charge"
"C",3.64514176174998,4.71465980634093
"i1",4.60040393518284,8.46827019471675
"i2",3.82947507547215,3.07850753888488
"i3",5.02865982241929,5.49689169274643
"i4",1.23258282663301,1.68752494035289
"i5",5.44752281624824,5.94785874243826
"i6",1.13985311239958,1.84509332291782
"i7",9.37723838724196,8.23580032447353
"i8",4.37574749812484,5.55963629391044
"i9",7.34851635759696,3.39523406466469
"i10",3.53136593243107,5.35102928755805
"i11",4.47211666731164,4.75397977046669
"i12",1.29980145720765,2.62280916562304
"i13",5.89411210268736,5.13281514402479
"i14",7.20184572972357,6.13872213987634
"i15",2.10027357330546,8.55411893920973
"i16",2.69926230655983,0.765009880997241
"i17",6.17225175490603,8.95510962000117
"i18",9.45765864336863,9.38335133250803
"i19",8.91924961004406,8.56749673606828
"i20",9.80999502586201,4.78654044680297
"u.1.1",5.82650556694716,8.10162291396409
"u.1.2",5.82973687630147,6.91249969555065
"u.1.3",5.83296818565577,5.72337647713721
"u.1.4",5.83619949501008,4.53425325872377
"u.1.5",5.83943080436438,3.34513004031032
"u.1.6",5.84266211371869,2.15600682189688
"u.2.1",1.40435142908245,6.30445127841085
"u.2.2",2.0630756393075,7.1241453049394
"u.2.3",2.72179984953254,7.94383933146795
"u.2.4",3.38052405975759,8.76353335799649
"u.3.1",0.0230666249990463,6.71320157591254
"u.3.2",0.891879704780877,6.11312392284162
"u.3.3",1.76069278456271,5.51304626977071
"u.3.4",2.62950586434454,4.9129686166998
"u.3.5",3.49831894412637,4.31289096362889
"u.3.6",4.3671320239082,3.71281331055798
"u.3.7",5.23594510369003,3.11273565748706
"u.3.8",6.10475818347186,2.51265800441615
"u.3.9",6.97357126325369,1.91258035134524
"u.3.10",7.84238434303552,1.31250269827433
"u.3.11",8.71119742281735,0.712425045203418
"u.4.1",0.768675778526813,2.79962644213811
"u.4.2",1.76607345743105,2.34284952189773
"u.4.3",2.76347113633528,1.88607260165736
"u.4.4",3.76086881523952,1.42929568141699
"u.4.5",4.75826649414375,0.972518761176616
"u.4.6",5.75566417304799,0.515741840936244
"u.5.1",2.39221973577514,6.85322768054903
"u.5.2",3.36984543595463,6.05531637789682
"u.5.3",4.34747113613412,5.25740507524461
"u.5.4",5.32509683631361,4.4594937725924
"u.6.1",1.36290871771052,2.97352278837934
"u.6.2",1.67980990139768,1.81975110201165
"u.6.3",1.99671108508483,0.66597941564396
"u.7.1",7.5030502397567,6.92525118356571
"u.7.2",8.73169865575619,6.12371342722327
"u.7.3",9.96034707175568,5.32217567088082
"u.8.1",7.05045483540744,9.80005881283432
"u.8.2",7.05610176577466,8.76380976202199
"u.8.3",7.06174869614188,7.72756071120966
"u.8.4",7.0673956265091,6.69131166039733
"u.8.5",7.07304255687632,5.655062609585
"u.8.6",7.07868948724354,4.61881355877267
"u.8.7",7.08433641761076,3.58256450796034
"u.8.8",7.08998334797798,2.54631545714801
"u.8.9",7.0956302783452,1.51006640633568
"u.9.1",2.8398670302704,8.36463339161128
"u.9.2",3.2283036770033,7.40023184900305
"u.9.3",3.6167403237362,6.43583030639482
"u.9.4",4.0051769704691,5.4714287637866
"u.9.5",4.393613617202,4.50702722117837
"u.9.6",4.7820502639349,3.54262567857014
"u.9.7",5.1704869106678,2.57822413596192
"u.9.8",5.5589235574007,1.61382259335369
"u.10.1",4.57597302272916,6.74636345123872
"u.10.2",5.3694323283465,5.99169889969441
"u.10.3",6.16289163396383,5.23703434815009
"u.10.4",6.95635093958117,4.48236979660578
"u.10.5",7.74981024519851,3.72770524506147
"u.10.6",8.54326955081585,2.97304069351715
"u.10.7",9.33672885643318,2.21837614197284
