"","x","y"
"C",3.67195423785597,5.78483708761632
"u.1.11",3.63518517503204,5.71289382661538
"u.1.12",3.92881457014785,5.81905920941305
"u.1.13",4.22244396526366,5.92522459221072
"u.1.14",4.51607336037948,6.0313899750084
"u.1.15",4.80970275549529,6.13755535780607
"u.1.16",5.1033321506111,6.24372074060375
"i1",5.86690579773858,6.27273891819641
"u.2.11",5.88139460701495,6.14201669208705
"u.2.10",5.61072226492688,6.29214415643364
"u.2.9",5.34004992283881,6.44227162078023
"u.2.8",5.06937758075073,6.59239908512682
"u.2.7",4.79870523866266,6.74252654947341
"u.2.6",4.52803289657459,6.89265401381999
"u.2.5",4.25736055448651,7.04278147816658
"u.2.4",3.98668821239844,7.19290894251317
"u.2.3",3.71601587031037,7.34303640685976
"u.2.2",3.44534352822229,7.49316387120634
"u.2.1",3.17467118613422,7.64329133555293
"i3",0.188522022217512,8.38169008027762
