"","x","y"
"C",4,5
"i1",-100,-100
"u.1.1",1,7
"u.1.2",2,8
"u.2.1",1,7
"u.2.2",1.33366666666667,6
"u.2.3",1.66733333333333,5
"u.2.4",2.001,4
"u.3.1",2,8
"u.3.2",2.00025,7.00000000000044
"u.3.3",2.0005,6.00000000000089
"u.3.4",2.00075,4.99999999999956
"u.3.5",2.001,4
"u.4.1",2,8
"u.4.2",3.33333333333333,8
"u.4.3",4.66666666666667,8
"u.4.4",6,8
"u.5.1",6,8
"u.5.2",6.33333333333333,7
"u.5.3",6.66666666666667,6
"u.5.4",7,5
"u.6.1",6,8
"u.6.2",7,7.5
"u.6.3",8,7
"u.7.1",7,5
"u.7.2",7.5,6
"u.7.3",8,7
"u.8.1",2,1
"u.8.2",2.00033333333333,2
"u.8.3",2.00066666666667,3
"u.8.4",2.001,4
"u.9.1",2.001,4
"u.9.2",3.00066666666667,3.33333333333333
"u.9.3",4.00033333333333,2.66666666666667
"u.9.4",5,2
"u.10.1",2,1
"u.10.2",3,1.33333333333333
"u.10.3",4,1.66666666666667
"u.10.4",5,2
"u.11.1",5,2
"u.11.2",5.66666666666667,3
"u.11.3",6.33333333333333,4
"u.11.4",7,5
"u.12.1",5,2
"u.12.2",6.5,2
"u.12.3",8,2
"u.13.1",7,5
"u.13.2",7.33333333333333,4
"u.13.3",7.66666666666667,3
"u.13.4",8,2
