"","x","y"
"C",8.7,3.2
"i1",3.9747818140313,6.55001512821764
"i2",5.37481161206961,6.01523634418845
"i3",3.41616640333086,4.7171322748065
"i4",7.5,4.5
"u.1.1",1,5
"u.1.2",2,5.0000125
"u.1.3",3,5.000025
"u.1.4",4,5.0000375
"u.1.5",5,5.00005
"u.1.6",6,5.0000625
"u.1.7",7,5.000075
"u.1.8",8,5.0000875
"u.1.9",9,5.0001
"u.2.1",5,9
"u.2.2",5.0000125,7.99999999996447
"u.2.3",5.000025,7
"u.2.4",5.0000375,6.00000000003553
"u.2.5",5.00005,5
"u.2.6",5.0000625,3.99999999996447
"u.2.7",5.000075,3
"u.2.8",5.0000875,2.00000000003553
"u.2.9",5.0001,1
"u.3.1",1,5
"u.3.2",1.8,5.8
"u.3.3",2.6,6.6
"u.3.4",3.4,7.4
"u.3.5",4.2,8.2
"u.3.6",5,9
"u.4.1",1,5
"u.4.2",1.8,4.19998
"u.4.3",2.6,3.39996
"u.4.4",3.4,2.59994
"u.4.5",4.2,1.79992
"u.4.6",5,0.9999
"u.5.1",5,9
"u.5.2",5.8,8.20002
"u.5.3",6.6,7.40004
"u.5.4",7.4,6.60006
"u.5.5",8.2,5.80008
"u.5.6",9,5.0001
"u.6.1",5.0001,1
"u.6.2",5.80008,1.80002
"u.6.3",6.60006,2.60004
"u.6.4",7.40004,3.40006
"u.6.5",8.20002,4.20008
"u.6.6",9,5.0001
