"","X_charge","Y_charge"
"C",6.58988060150295,6.40378074441105
"i1",9.79797929525375,5.70224517723545
"i2",6.16320030996576,8.53084957692772
"i3",1.86346925795078,5.9215301182121
"i4",9.36553111299872,0.554899196140468
"i5",9.26427521044388,8.89035725500435
"i6",2.80924441758543,3.03512629121542
"i7",5.77957271365449,2.76585103711113
"i8",4.36687233392149,7.63221185421571
"i9",8.91205522697419,2.36855604220182
"i10",3.56936932075769,3.35414909059182
"i11",4.949072340969,3.10339386574924
"i12",5.5826284037903,5.66410263068974
"i13",3.44984396360815,5.22163351066411
"i14",9.88490018760785,0.644193296320736
"i15",2.03655329532921,0.878239416051656
"i16",9.0426501003094,2.82489147270098
"i17",9.76824674289674,3.81663270061836
"i18",4.68716360861436,4.43863283842802
"i19",8.51633256534114,5.46262613963336
"i20",3.964017117396,7.41288589779288
"i21",6.22520694741979,0.26639194926247
"i22",4.40607025753707,3.10746857430786
"i23",7.11026850389317,1.65093103889376
"i24",6.26713024685159,2.49458446633071
"i25",8.5037078987807,1.86623962363228
"i26",0.167836332693696,8.25881563825533
"i27",8.94074826734141,4.03811202384531
"i28",1.19104585377499,8.92460591392592
"i29",8.29458884894848,4.73951720865443
"i30",6.67413586750627,7.60045819915831
"i31",2.85529200686142,9.40130802569911
"i32",4.02249998413026,3.90777812339365
"i33",1.56243141274899,5.082210698165
"i34",3.25584604172036,4.99099705601111
"i35",7.1236713253893,4.78382192319259
"i36",0.410605843644589,7.13241288904101
"i37",6.72931815264747,7.36752315191552
"i38",1.81297119706869,5.81619285745546
"i39",8.91841538483277,0.329202869907022
"i40",3.97828952176496,8.83712386712432
"i41",8.27324665151536,7.98504758859053
"i42",9.22544121276587,7.31767504941672
"i43",8.85986176785082,3.93475115997717
"i44",6.41882535535842,9.95916686020792
"i45",8.94495500717312,7.03389389440417
"i46",2.87952683866024,4.68912733020261
"i47",2.92398805264384,3.38455196237192
"i48",3.09162547579035,3.15647755749524
"i49",9.00393048767,4.79694350622594
"i50",7.6341848843731,0.995493151713163
"i51",2.78683006530628,7.75650953873992
"i52",5.49057845957577,7.18010823242366
"i53",3.39222194394097,4.25247916951776
"i54",3.23159395949915,0.290274012368172
"i55",5.98775517428294,7.75606092764065
"i56",5.09893764276057,3.16711481660604
"i57",6.0665279859677,0.978847211226821
"i58",1.9498984166421,6.24173899646848
"i59",7.80429296661168,6.79146538721398
"i60",3.36009038612247,5.44969284906983
"i61",6.61894350545481,7.01496095629409
"i62",3.2088732952252,0.794594523031265
"i63",8.15307017182931,3.83985703578219
"i64",4.6378779434599,8.92973976908252
"i65",0.696007865481079,5.59344678418711
"i66",6.2648195726797,3.8184619275853
"i67",0.104136548470706,2.92112729512155
"i68",5.58704117313027,7.22579346271232
"i69",6.51927884668112,7.03036755789071
"i70",9.32900549378246,1.50442358106375
"i71",9.59953754441813,9.27021797513589
