"","C","i61","i69","i37","i30","i55","i68","i52","u.32.1","u.32.2","i12","u.2.6","u.2.7","u.2.8","i2","u.18.5","u.18.6","u.18.7","i75","i41","i78","i45","i42","i87","i1","i82","i49","i29","i19","u.48.9","u.48.8","i35","u.41.7","u.41.6"
"C",0,6.89328892910634,7.10374798664079,10.0057552473146,13.5150494309376,16.6766726832073,14.6083512956372,15.1615602529604,16.2146993618847,7.76706067910809,14.0787098851212,14.0770208284969,7.16486802152566,14.9177228296109,24.4407624105448,26.0422103617819,24.443883586598,29.7788084240432,29.8413870067223,23.7313181223263,24.2781571487103,25.0500364061543,28.6627994747783,32.3104607995258,33.7428029925149,37.2887605932518,29.7973011667679,24.4795760072602,22.0306323087464,23.0693891435862,13.7216440373714,17.5257634698144,13.573785350336,5.40601511637426
"i61",6.89328892910634,0,1.13615063813273,3.7960241670079,6.04277095385387,10.9669446589122,11.8654964531006,12.8475049496656,14.4039893156788,12.2567108123917,19.1810954984503,19.0504596077851,7.43402522142648,8.10183639757228,17.8329978054038,19.3420003034466,18.4590522504232,25.0239277346358,24.9153539689201,19.705320707422,23.1698193409107,23.9010217278217,26.9622974300733,32.9189832721168,35.3405461208643,39.812695534254,33.4658725932581,29.0361758862481,25.1895997271269,26.4629952959757,18.6620107778951,23.5046858065416,19.182436204837,12.2616368096818
"i69",6.47904550915933,1.03623773021871,0,4.08160071470503,6.07006026613809,10.1339975708441,10.7308031547022,11.7113946197237,13.2705189781362,11.7385557718623,18.6620053221423,18.5083561970124,6.55158937921157,7.83056191900538,17.373783864226,18.9479572385787,18.7463035610582,25.6928482880174,25.5473653305522,20.5190775926405,24.1948128825911,24.9243304919382,27.9626277669496,33.9514454589133,36.3483397587277,40.7765198852221,34.3285091776437,29.7798599503377,26.0877491382964,27.3422381990342,19.3148817711133,23.9044882185965,19.695061375308,12.3554291439342
"i37",10.9704992182026,4.16203266291319,4.47514418881117,0,2.69686078338785,9.43165097027822,12.9674823636782,14.114363088662,15.8269121171904,16.2125033687257,23.1336835809499,22.9754507175303,10.778885607195,4.74633716539352,14.5754115621173,15.8957584950009,14.6888200478541,21.8463984774027,21.638923104718,17.0860567944179,22.3415348584127,23.022763011511,25.6532738875228,32.8976914508992,35.8747663683749,40.8484902532449,35.2691471352025,31.4301638701625,26.8378530956898,28.2177008322763,21.4556339634376,26.8554977584589,22.3343266181507,16.3696540273694
"i30",13.5150494309376,6.62540831616116,6.65532883407107,2.45969927146861,0,7.92892565120634,12.9540885863134,14.1498465179616,15.8941036158537,18.1782313576954,25.0419460111248,24.8500898201912,12.3496059303128,2.35135524575257,11.9582508296061,13.225890281141,12.8464166640814,20.9876280151683,20.6586752168352,16.8997009131434,23.4055685277904,24.0483875215699,26.3757066935065,34.3233835717829,37.5594846894645,42.738671038765,37.4553715819586,33.7847078375001,28.9972121404362,30.4061176980153,23.8919350293321,29.3077808439051,24.7939868771615,18.885923693734
"i55",15.2101287178331,10.0025132754076,9.24281542288462,8.6022330715924,7.23165718005705,0,7.48785834447925,8.57177643749274,10.1330047452762,17.9731938372016,24.0057135069337,23.6928526539933,11.7823299582185,5.34358556023726,8.16266355545076,9.88615365426344,16.6593088877446,26.7069302852497,26.1682902634751,23.60145375104,30.6328590600226,31.2787509033189,33.5714388113459,41.4448712714738,44.476261871685,49.3789983621324,43.4164400440393,39.0200818442061,35.0767448543803,36.3902877030617,28.5362106980017,32.6946907272886,28.7493582990055,19.4260125445303
"i68",13.3236951868526,10.8220465665423,9.78713801783149,11.8271240099583,11.8149080792624,6.82937726271464,0,1.20245947850718,2.94397242009758,11.5382376319802,17.5939572500947,17.2250345616267,6.99775003180698,10.7554261754303,14.6583938773719,16.405395157713,23.2274774800126,32.6469821574765,32.2264990623728,28.6826543842087,33.8461650185094,34.5595282451894,37.397201729743,43.7349777787094,46.0131596770009,50.1661352167711,43.0755695171224,37.770802498494,35.1308227855104,36.2564703702342,26.9849325025208,29.6461420624613,26.4457277480285,16.2069615197671
"i52",13.8282550357257,11.7176973908101,10.6814964240862,12.8731482248828,12.9055112470065,7.81797576959333,1.09671538162942,0,1.74436119908097,11.4606169589498,17.1106553096191,16.7255109837106,7.3684352185003,11.8506263663661,15.5047343922065,17.2492014668066,24.2922557816751,33.7434948513708,33.321723698176,29.7646974727834,34.8083750983675,35.526186499034,38.4024798281371,44.5978905264146,46.791973894948,50.8500328968262,43.6219593176482,38.1968794056209,35.7496184540923,36.8470661588109,27.4046472982064,29.7966237246473,26.7451003280864,16.4268506114842
"u.32.1",14.7887812575213,13.1373047671781,12.1035116323384,14.4350959619603,14.4963786508291,9.2419099062406,2.68507994982264,1.59096235036932,0,11.6744508693073,15.2240831786971,14.8523431462264,8.25672892784926,13.4279463015949,16.6980679354249,18.4331422471801,25.8044920643897,35.3255417849443,34.8976670688489,31.351826872181,36.2770147752399,36.9996202307291,39.9177175447896,45.9469510918855,48.0362041497929,51.9715063931622,44.5676240840601,38.9870163914638,36.7966599736178,37.856463251981,28.2029888507554,30.2225181624373,27.3833811213782,17.0006067928993
"u.32.2",7.08402658807439,11.1788575967829,10.7062690287899,14.7867783796543,16.5796405593254,17.9731938372016,12.6507418772858,12.565637103908,12.8000886458874,0,6.92783174727278,6.79499793562265,5.72347388483336,17.0781337480256,24.4511949289923,26.1194775234983,29.4007061703062,36.0902612158343,36.0346270415474,30.3929532283256,31.3345485170582,32.1075625743086,35.7449594727501,38.9161772946503,39.875170731553,42.7708139680271,34.4204183978779,28.2228286034764,27.3837968065907,28.1799684569122,17.6795203243525,18.6314240911383,16.2673392259427,6.09194394356961
