"","x","y"
"C",6.58988060150295,6.40378074441105
"i61",6.61894350545481,7.01496095629409
"i69",6.51927884668112,7.03036755789071
"i37",6.72931815264747,7.36752315191552
"i30",6.67413586750627,7.60045819915831
"i55",5.98775517428294,7.75606092764065
"i68",5.58704117313027,7.22579346271232
"i52",5.49057845957577,7.18010823242366
"u.32.1",5.34528195625171,7.12660250253975
"u.32.2",5.94450435368344,6.16128796517539
"i12",5.5826284037903,5.66410263068974
"u.2.6",5.55939594882407,5.69709312769451
"u.2.7",6.03314444722076,6.71120827618454
"u.2.8",6.50689294561744,7.72532342467457
"i2",6.16320030996576,8.53084957692772
"u.18.5",6.23004015767947,8.68719277703869
"u.18.6",7.33072546077892,8.66440302326477
"u.18.7",8.43141076387838,8.64161326949086
"i75",8.34642175585032,8.71657746145502
"i41",8.27324665151536,7.98504758859053
"i78",8.87386213988066,7.0089373132214
"i45",8.94495500717312,7.03389389440417
"i42",9.22544121276587,7.31767504941672
"i87",9.73077976610512,6.25313790049404
"i1",9.79797929525375,5.70224517723545
"i82",9.9537914339453,5.04224085249007
"i49",9.00393048767,4.79694350622594
"i29",8.29458884894848,4.73951720865443
"i19",8.51633256534114,5.46262613963336
"u.48.9",8.55293934595668,5.31423462580682
"u.48.8",7.50059523645582,5.42708764137286
"i35",7.1236713253893,4.78382192319259
"u.41.7",7.24292148195673,5.25545918906573
"u.41.6",6.49208402348449,5.93399656674592
