"","C","u.1.4","u.1.5","u.1.6","i1","u.1.6.1","u.1.7","u.1.8","i2","u.2.4","u.2.3","u.2.2","u.2.1","u.1.4.1","u.1.3","u.1.2"
"C",0,0.696903936620947,12.2168808326469,24.0764710774007,24.9259500866008,24.0764710774007,35.9410423037831,47.806886159876,53.4394554223652,26.7796496586316,18.1488300466631,15.5543702509476,22.8203809864193,0.696903936620947,12.3578010222648,25.0473486562159
"u.1.4",0.745716444225411,0,11.8671348707175,23.734269741435,24.5225613244155,23.734269741435,35.6014046121525,47.4685394828701,53.2908629672827,26.3127736299394,17.9240643132841,15.8275112551007,23.445303951276,0,12.6983320855428,25.3966641710856
"u.1.5",13.0725749351051,12.6983320855428,0,11.8671348707175,12.781978818074,11.8671348707175,23.734269741435,35.6014046121525,42.0652037743575,14.974998122235,6.66189914215359,13.7382400449909,25.8946962765015,12.6983320855428,25.3966641710856,38.0949962566284
"u.1.6",25.762833954403,25.3966641710856,12.6983320855428,0,2.65701546500326,0,11.8671348707175,23.734269741435,31.3162009419777,6.14791521583099,7.50155872262153,20.3259007088145,33.3748945862943,25.3966641710856,38.0949962566284,50.7933283421712
"i1",26.6718121261382,26.2401692302236,13.6772534828757,2.84311799761271,0,2.84311799761271,11.5064442785962,23.2248696179594,32.1117466624668,3.50228715480891,9.6716542310058,22.7356508989263,35.8350560303398,26.2401692302236,38.8911426308892,51.5654025927366
"u.1.6.1",25.762833954403,25.3966641710856,12.6983320855428,0,2.65701546500326,0,11.8671348707175,23.734269741435,31.3162009419777,6.14791521583099,7.50155872262153,20.3259007088145,33.3748945862943,25.3966641710856,38.0949962566284,50.7933283421712
"u.1.7",38.4584228329737,38.0949962566284,25.3966641710856,12.6983320855428,12.3123780225963,12.6983320855428,0,11.8671348707175,21.7620149429697,12.3403690614649,19.60169292602,30.9845205743905,43.3558203422528,38.0949962566284,50.7933283421712,63.491660427714
"u.1.8",51.1553734787157,50.7933283421712,38.0949962566284,25.3966641710856,24.8515846718822,25.3966641710856,12.6983320855428,0,16.8552471769788,24.1616984725091,32.1663585656268,42.7718840634186,54.4799596362057,50.7933283421712,63.491660427714,76.1899925132568
"i2",57.1824588509732,57.023458691238,45.0115324880034,33.5096485841808,34.3609158747321,33.5096485841808,23.286268809353,16.8552471769788,0,35.3719414472906,37.9925865388442,44.4923759169883,53.4750305304416,57.023458691238,69.2806387153982,81.6727263903023
"u.2.4",28.655348422718,28.1557714886308,16.0238761257984,6.57852715881902,3.74759416111747,6.57852715881902,11.5326031025415,22.5801414348992,33.0565933357521,0,13.1124462375643,26.2248924751285,39.3373387126928,28.1557714886308,40.6352753854887,53.2184086449273
"u.2.3",19.4200094131627,19.1795006505177,7.12851151933896,7.01052772145641,9.03857486236039,7.01052772145641,18.3186210661717,30.0608389217312,35.5056983473589,12.254142271438,0,13.1124462375643,26.2248924751285,19.1795006505177,31.7393460776135,44.3780825315299
"u.2.2",16.6438286056218,16.9361009371239,12.8389733708268,18.9954242380332,21.247438937141,18.9954242380332,28.9563607317722,39.9721564561355,41.5800297368735,24.508284542876,12.254142271438,0,13.1124462375643,16.9361009371239,26.5973507304874,38.0854551281473
"u.2.1",21.3266228306723,21.9106400904041,24.1997020616094,31.1902675629706,33.4893937366723,31.1902675629706,40.5178699033936,50.913854228948,49.974704964834,36.762426814314,24.508284542876,12.254142271438,0,21.9106400904041,27.4102997975693,35.7136118045625
"u.1.4.1",0.745716444225411,0,11.8671348707175,23.734269741435,24.5225613244155,23.734269741435,35.6014046121525,47.4685394828701,53.2908629672827,26.3127736299394,17.9240643132841,15.8275112551007,23.445303951276,0,12.6983320855428,25.3966641710856
"u.1.3",11.5488940160631,11.8671348707175,23.734269741435,35.6014046121525,36.3454374769838,35.6014046121525,47.46853948287,59.3356743535875,64.7457223536566,37.9754041916545,29.6617774739286,24.856362725135,25.6160984256265,11.8671348707175,0,12.6983320855428
"u.1.2",23.4078194407604,23.734269741435,35.6014046121525,47.4685394828701,48.1900759177298,47.4685394828701,59.3356743535875,71.2028092243051,76.3266587142099,49.7348808284309,41.4732176759722,35.5924880191905,33.3758989094099,23.734269741435,11.8671348707175,0
