"","C","i1","i2","i3","i4","i5","u.1.1","u.1.2","u.1.3","u.1.4","u.1.5","u.1.6","u.1.7","u.1.8","u.2.1","u.2.2","u.2.3","u.2.4","u.2.5","u.2.6","u.2.7","u.2.8"
"C",0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i1",0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i2",0,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i3",0,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i4",0,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i5",0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"u.1.1",0,10,10,10,10,10,0,10.705123955669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"u.1.2",0,10,10,10,10,10,10.705123955669,0,10.705123955669,0,0,0,0,0,0,0,0,0,0,0,0,0
"u.1.3",0,10,10,10,10,10,0,10.705123955669,0,10.705123955669,0,0,0,0,0,0,0,0,0,0,0,0
"u.1.4",0,10,10,10,10,10,0,0,10.705123955669,0,10.705123955669,0,0,0,0,0,0,0,0,0,0,0
"u.1.5",0,10,10,10,10,10,0,0,0,10.705123955669,0,10.705123955669,0,0,0,0,0,0,0,0,0,0
"u.1.6",0,10,10,10,10,10,0,0,0,0,10.705123955669,0,10.705123955669,0,0,0,0,0,0,0,0,0
"u.1.7",0,10,10,10,10,10,0,0,0,0,0,10.705123955669,0,10.705123955669,0,0,0,0,0,0,0,0
"u.1.8",0,10,10,10,10,10,0,0,0,0,0,0,10.705123955669,0,0,0,0,0,0,0,0,0
"u.2.1",0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,11.054236209099,0,0,0,0,0,0
"u.2.2",0,10,10,10,10,10,0,0,0,0,0,0,0,0,11.054236209099,0,11.054236209099,0,0,0,0,0
"u.2.3",0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,11.054236209099,0,11.054236209099,0,0,0,0
"u.2.4",0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,11.054236209099,0,11.054236209099,0,0,0
"u.2.5",0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,11.054236209099,0,11.054236209099,0,0
"u.2.6",0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,11.054236209099,0,11.054236209099,0
"u.2.7",0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11.054236209099,0,11.054236209099
"u.2.8",0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.054236209099,0
