"","x","y"
"C",3.67195423785597,5.78483708761632
"i1",5.86690579773858,6.27273891819641
"i2",7.57788811577484,8.61018436262384
"i3",0.188522022217512,8.38169008027762
"i4",9.36272427206859,2.66238868935034
"i5",6.38237126870081,4.07479157671332
"u.1.1",0.698891223873943,4.65123999863863
"u.1.2",0.992520618989753,4.7574053814363
"u.1.3",1.28615001410556,4.86357076423398
"u.1.4",1.57977940922137,4.96973614703165
"u.1.5",1.87340880433718,5.07590152982933
"u.1.6",2.16703819945299,5.182066912627
"u.1.7",2.4606675945688,5.28823229542468
"u.1.8",2.75429698968461,5.39439767822235
"u.1.9",3.04792638480043,5.50056306102003
"u.1.10",3.34155577991624,5.6067284438177
"u.1.11",3.63518517503205,5.71289382661538
"u.1.12",3.92881457014786,5.81905920941305
"u.1.13",4.22244396526367,5.92522459221072
"u.1.14",4.51607336037948,6.0313899750084
"u.1.15",4.80970275549529,6.13755535780607
"u.1.16",5.1033321506111,6.24372074060375
"u.1.17",5.39696154572691,6.34988612340142
"u.1.18",5.69059094084272,6.4560515061991
"u.1.19",5.98422033595853,6.56221688899677
"u.1.20",6.27784973107434,6.66838227179445
"u.1.21",6.57147912619015,6.77454765459212
"u.1.22",6.86510852130596,6.8807130373898
"u.1.23",7.15873791642177,6.98687842018747
"u.1.24",7.45236731153758,7.09304380298514
"u.1.25",7.74599670665339,7.19920918578282
"u.2.1",3.17467118613422,7.64329133555293
"u.2.2",3.44534352822229,7.49316387120634
"u.2.3",3.71601587031037,7.34303640685975
"u.2.4",3.98668821239844,7.19290894251317
"u.2.5",4.25736055448651,7.04278147816658
"u.2.6",4.52803289657459,6.89265401381999
"u.2.7",4.79870523866266,6.7425265494734
"u.2.8",5.06937758075074,6.59239908512682
"u.2.9",5.34004992283881,6.44227162078023
"u.2.10",5.61072226492688,6.29214415643364
"u.2.11",5.88139460701496,6.14201669208705
"u.2.12",6.15206694910303,5.99188922774047
"u.2.13",6.4227392911911,5.84176176339388
"u.2.14",6.69341163327918,5.69163429904729
"u.2.15",6.96408397536725,5.5415068347007
"u.2.16",7.23475631745532,5.39137937035412
"u.2.17",7.5054286595434,5.24125190600753
"u.2.18",7.77610100163147,5.09112444166094
"u.2.19",8.04677334371955,4.94099697731435
"u.2.20",8.31744568580762,4.79086951296776
"u.2.21",8.58811802789569,4.64074204862118
"u.2.22",8.85879036998377,4.49061458427459
"u.2.23",9.12946271207184,4.340487119928
"u.2.24",9.40013505415991,4.19035965558141
"u.2.25",9.67080739624799,4.04023219123483
"u.2.26",9.94147973833606,3.89010472688824
