"","x","y"
"C",3.67195423785597,5.78483708761632
"u.1.11",3.63518517503205,5.71289382661538
"u.1.10",3.34155577991624,5.6067284438177
"u.1.9",3.04792638480043,5.50056306102003
"u.1.8",2.75429698968461,5.39439767822235
"u.1.7",2.4606675945688,5.28823229542468
"u.1.6",2.16703819945299,5.182066912627
"u.1.5",1.87340880433718,5.07590152982933
"u.1.4",1.57977940922137,4.96973614703165
"u.1.3",1.28615001410556,4.86357076423398
"u.1.2",0.992520618989753,4.7574053814363
"u.1.1",0.698891223873943,4.65123999863863
"i3",0.188522022217512,8.38169008027762
"i1",5.86690579773858,6.27273891819641
"u.2.11",5.88139460701496,6.14201669208705
"u.2.10",5.61072226492688,6.29214415643364
"u.2.9",5.34004992283881,6.44227162078023
"u.2.8",5.06937758075074,6.59239908512682
"u.2.7",4.79870523866266,6.7425265494734
"u.2.6",4.52803289657459,6.89265401381999
"u.2.5",4.25736055448651,7.04278147816658
"u.2.4",3.98668821239844,7.19290894251317
"u.2.3",3.71601587031037,7.34303640685975
"u.2.2",3.44534352822229,7.49316387120634
"u.2.1",3.17467118613422,7.64329133555293
"u.1.12",3.92881457014786,5.81905920941305
"u.1.11.1",3.63518517503205,5.71289382661538
"u.1.12.1",3.92881457014786,5.81905920941305
"u.1.13",4.22244396526367,5.92522459221072
