"","C","i107","i108","i197","i187","i34","i60","i113","i69","i20","i74","i52","i11","i134","i90","u.67.8","u.67.7","i123","i103","i84","i129","i175","i88","i150","i132","i70","i118","i39","i124","i73","i95","i130","i36","i111","i61","i173","u.25.2","u.25.3","i82","i102"
"C",0,0.640281575240285,3.38861005173621,4.85198164965287,7.75209631141043,12.1421318900161,17.0418267394275,20.1420328511152,22.9321492685733,25.7942980479217,29.3468222135513,35.5921086694926,36.9569533061551,39.6606405924017,41.4239019314616,41.3239368540056,34.2239966519063,33.049298262205,32.6061047399356,38.7023683537443,42.386985487432,35.7475366993055,31.0533956127611,31.6715857960353,29.5539811299845,35.1038235642635,35.8013679753398,35.4693910213424,33.5377304590992,41.683843729276,36.881975503758,36.4776807582295,32.275757213682,28.5774561117187,33.9251293194286,39.3515306601855,39.5802145433037,27.6290820012936,21.5924639143568,14.3295550902322
"i107",0.640281575240285,0,2.87292764797941,4.30587017103229,8.08161319398705,12.228213572151,17.0772135162509,20.3227756500573,22.9994888816841,26.0159798643022,29.516431922643,35.6797214588154,37.0075875134242,39.7236153885417,41.5108275148498,41.3859160901742,34.1311302158167,32.9608913254511,32.4504030734802,38.5883739475913,42.216370137545,35.4480483141473,30.6723416071029,31.238103035224,29.0793670440933,34.5322292062769,35.1788148513582,34.8536939109776,32.9020074970017,41.0447421276287,36.245181436103,35.8250958428161,31.6916673308449,28.0820497955336,33.4467983624295,38.8423570482232,39.0642649336542,27.0747472380483,21.1280092349231,13.9669696629285
"i108",3.38861005173621,2.78082182951365,0,1.75130699631237,9.10373263523655,11.6165085913416,16.5113975784837,19.6956646211685,22.4958566466937,26.1938514764215,28.4713552430696,35.1865015712769,36.3501708982334,39.1099353407668,40.994996486331,40.7629849846298,32.8883999349887,31.7407079585189,30.9640812922935,37.2466525366315,40.6445001408471,33.4135702684661,28.367677593511,28.7646662583854,26.4873669018376,31.7086952651452,32.3059512885936,32.0811093733447,30.2037310762897,38.3909951995805,34.8943170456564,33.3626816519837,29.8687345317743,26.8650494572706,32.3086617150824,37.5013518163332,37.6807192657369,25.4816581218395,20.1477034413962,13.6714543257893
"i197",4.69642752654906,4.16782433594515,1.69516024148768,0,8.842644286184,10.5609366713714,15.1975251198533,18.6608654085925,21.1704066954962,25.1991626041913,27.3345125222318,33.8286978564548,34.9266174162797,37.6990027787709,39.6193943476351,39.3464593436606,31.2769873168619,30.1368848288814,29.2932040408357,35.6053653408453,38.9502898933756,31.6639868707371,26.6259113522554,27.0551089755358,24.8207119525896,30.255752417296,30.0857730610736,30.9896808890402,29.3607240619399,37.6289947228075,34.4108265557816,32.9950735138464,30.1283796165999,27.5644493663745,33.0360277658058,38.0862223221892,38.2370160476515,25.9354645618691,21.0268169965734,14.9455725688252
"i187",8.00885967827193,8.34929075241806,9.4052646271688,9.13552856260059,0,5.70867225094967,10.5530050543804,12.522512084549,15.947285348779,18.7920932646789,21.6970420334687,28.3180069572334,29.8970509617995,32.5062897642223,34.1219590129341,34.1662816319248,28.3020926957677,27.1075186853944,27.3173150919509,32.9056875196327,37.0844544758554,32.0128427848837,28.5553996957605,29.9456530211205,28.5858373038443,34.7218311788468,36.7235001473729,37.9941533037884,37.165276707106,45.5631700872954,43.1878625277913,41.914517370679,39.2158420351395,36.2080965587774,41.6249722770638,46.8875891324536,47.0750684896537,34.8857642827466,29.3666822049151,22.3157137813051
"i34",12.1421318900161,12.228213572151,12.0012682405088,10.9107338807999,5.52565269930996,0,5.00029434636786,8.10121338136592,10.7932792429622,14.639275032722,16.8618446937235,23.4536965360288,24.8264312492683,27.5208884681196,29.2853225828159,29.1844894750256,22.6774890845642,21.4841481690176,21.6115094720337,27.2653720214673,31.3869594394553,26.4569417215127,23.4068128586016,25.0843298926862,24.1096029702299,31.1066435381767,33.8652311335066,35.4051762318733,36.5454667652078,45.2464057690558,42.3029075150181,41.3664274118525,40.2923102191069,38.3613906548526,43.844097411065,48.7355623333033,48.8487364264632,36.464023620084,31.9290840635486,25.6673357779216
"i60",17.0418267394275,17.0772135162509,16.5113975784837,15.1975251198533,10.2146766010026,5.00029434636786,0,5.04807935188146,5.98445930511427,11.2452623254254,12.7785524097949,18.6806456398806,19.9329160037697,22.6605725910371,24.4982755937982,24.3208583238426,17.7494093678522,16.5548158593263,16.9124063898236,22.3554625105134,26.6083670200023,22.5011404981905,20.408629666559,21.8288792037443,21.4951133229865,30.0089148713402,34.6813217294001,36.5332019242512,37.3059929897491,45.8984271809887,43.8237861849871,43.1774988405596,43.3216051215534,42.0903761551854,47.5670575889512,52.196773057885,52.2618755295124,39.8648054422924,35.9517012891871,30.135561480389
"i113",20.1420328511152,20.3227756500573,20.3480204430721,19.2789468201723,12.522512084549,8.36954013324092,5.21528081565394,0,4.65092902986074,6.55416573191071,9.20986166638689,15.8811265324484,17.6200841692015,20.1267553854538,21.6467078694308,21.7746476350465,17.7016988167805,16.5615515505306,17.9311951593351,22.2424619141327,26.9924842141341,24.8854521057082,23.2399097873238,25.6427294503182,25.7279354935376,34.5236895921367,39.6384493060589,41.5578592852298,42.4826900020068,51.0506404639859,49.0385658558931,48.3793621917768,48.2565366753146,46.6577279570037,52.1421232848076,56.9371084101579,57.0285428428898,44.6272750579907,40.2883603356016,33.9929460999653
"i69",22.9321492685733,22.9994888816841,22.4958566466937,21.1704066954962,15.947285348779,10.7932792429622,5.98445930511427,4.50182063681688,0,7.05437990721954,7.40385709276126,12.7016497597239,14.0368099682197,16.7285008262787,18.5254522309263,18.391868326915,13.1064076164773,11.9512375259705,13.2957222269888,17.6821273890105,22.3702212416738,20.4865129726732,19.6077320410018,22.2325332049386,22.7445226790582,32.8578935648024,37.3492342226372,39.4305559975399,40.9604328831226,49.3408443161792,48.0602583892671,47.655869958309,48.6639038681393,47.8193808876674,53.2816081394483,57.7650931802454,57.8029510339881,45.4359332519207,41.8146020497113,36.1134600908366
"i20",26.6486515732855,26.8776758899729,27.0614389296703,26.0338041737006,18.7920932646789,15.1241541408777,11.6177256308241,6.77125148429186,7.28803365239189,0,3.75663279992958,11.1804756334878,13.4111360082761,15.414290035789,16.4494435976856,16.9461677874604,16.5542526172407,15.6475519785345,18.1304147333101,20.5326557782216,25.6043054409759,25.3941982728343,26.1780064915426,28.9503719539438,30.6608712745284,40.0762576057637,44.6359415108201,46.7176939664751,48.1692929721196,56.5923019842515,55.1091259707734,54.5972167472374,54.9204597789077,53.4270350033262,58.9114109269323,63.6832168905571,63.7677701306855,51.3652358247457,47.0523065105864,40.6694772231582
