"","X_points","Y_points"
"i1",7.95083924662322,2.57638988550752
"i2",2.00489753857255,1.1445899028331
"i3",1.84547964017838,1.38290345901623
"i4",9.31838910328224,9.10921921720728
"i5",9.48896954068914,3.96457945695147
"i6",4.82199006481096,7.99698456423357
"i7",3.39891087729484,1.70983821153641
"i8",8.81039562169462,5.70878132013604
"i9",9.80366718489677,2.58906579809263
"i10",8.64615368889645,2.1792456228286
"i11",6.80778941139579,0.49657495925203
"i12",2.08565749228001,3.88030601432547
"i13",0.577236583922058,6.9397246139124
"i14",0.472157811746001,1.32445179624483
"i15",7.52260190201923,3.57703207293525
"i16",7.00558672659099,5.63962523592636
"i17",0.815598210319877,7.93467142619193
"i18",6.66132642189041,8.46947305370122
"i19",3.54658843250945,1.39451526338235
"i20",7.48127846512944,1.48680414538831
"i21",9.45656193420291,2.7029930241406
"i22",3.22110865265131,5.50475617172197
"i23",9.97555706184357,5.49945588456467
"i24",2.37507506972179,6.43378173466772
"i25",7.77691514929757,6.9515870208852
"i26",9.2226334521547,0.119281872175634
"i27",7.98299942864105,6.00507189752534
"i28",6.38358336407691,6.56907547730953
"i29",3.95058632362634,6.72360393218696
"i30",2.77240231866017,5.14657128835097
"i31",3.347770832479,1.75254032481462
"i32",3.44716783380136,6.54722335748374
"i33",3.00583297619596,0.709809781983495
"i34",6.91109667066485,2.71105946041644
"i35",9.09181032562628,1.30841882200912
"i36",4.49390147347003,5.3760660206899
"i37",8.34217036375776,8.8682961370796
"i38",3.79349011695012,7.37328541930765
"i39",3.68373604724184,3.21355005959049
"i40",7.39059401676059,2.60500761913136
"i41",2.92949349619448,8.96133165340871
"i42",0.294901097659022,8.12342980410904
"i43",6.23420589370653,9.50485267676413
"i44",8.55971557553858,7.54571600817144
"i45",2.43453412782401,1.79906397592276
"i46",5.44884412782267,3.22162956697866
"i47",1.83517968980595,4.73339988151565
"i48",4.47292946046218,0.31474414980039
"i49",4.98944376595318,8.16942946286872
"i50",1.65182794211432,4.74355696467683
"i51",1.4139452832751,4.88304352853447
"i52",6.98907685000449,0.618198129814118
"i53",2.75522177806124,8.89138177037239
"i54",0.0203516893088818,8.01272162934765
"i55",4.6989859547466,8.80151009885594
"i56",8.9495311351493,7.28943320922554
"i57",8.14153654733673,3.61729173688218
"i58",5.35100743407384,6.47772509604692
"i59",6.99576494749635,6.01169113768265
"i60",6.80851651122794,2.27649794658646
"i61",4.91021789610386,6.07623395742849
