"","x","y"
"C",6.90378009714186,3.79527460411191
"i187",7.18803012277931,3.13903474248946
"i34",6.91109667066485,2.71105946041644
"i60",6.80851651122794,2.27649794658646
"i113",7.19778932398185,2.02087119454518
"i69",6.88503755722195,1.7476186924614
"i20",7.48127846512944,1.48680414538831
"i74",7.29961816454306,1.20479892706499
"i52",6.98907685000449,0.618198129814118
"i11",6.80778941139579,0.49657495925203
"i134",6.86927151866257,0.25391916744411
"i90",7.00396282365546,0.0976563501171768
"u.67.8",6.86347362352535,0.105446020606905
"u.67.7",6.15592806533511,0.832136365518506
"i123",6.20008617639542,0.929239690303802
"i103",5.92108530458063,1.0545388283208
"i84",5.95398728502914,0.472397585399449
"i129",5.55198058718815,0.25992892915383
"i175",5.16805961262435,1.11632352694869
"i88",5.07656103000045,1.70950554776937
"i150",4.8373416159302,1.86442435719073
"i132",4.82866988750175,2.16479506110772
"i70",4.04915590770543,2.50029958086088
"i118",3.80225038621575,3.02020735107362
"i39",3.68373604724184,3.21355005959049
"i124",3.81052637705579,3.72886606957763
"i73",3.06087457109243,3.93575547263026
"i95",3.56932430528104,4.47225539712235
"i130",3.75559331383556,4.63128712493926
"i36",4.49390147347003,5.3760660206899
"u.25.3",4.96598533975581,5.32230354147032
"u.25.2",4.36079614058447,6.24982243170962
"i173",4.4150290125981,6.27595224417746
"i61",4.91021789610386,6.07623395742849
"i111",5.15066628577188,5.64959266223013
"i82",5.67265183432028,5.2791698789224
"i102",6.28721336368471,4.9164961813949
"i108",6.59691219683737,3.73563063563779
"i197",6.51616374729201,3.601706456393
"i107",6.84498848393559,3.80098299123347
"C1",6.90378009714186,3.79527460411191
