"","x","y"
"C",4.75761865079403,5.38548931945115
"u.9.6",4.72321854351321,5.09181024914142
"u.9.7",5.17640766862314,6.05206106905826
"i1",6.11309699248523,5.81180876819417
"u.6.5",5.43607767671347,6.01327298954129
"u.6.6",5.4791190312244,7.21065443009138
"i8",4.76867394289002,7.04947888385504
"u.9.8",5.62959679373307,7.01231188897509
"u.9.9",6.082785918843,7.97256270889193
"u.9.8.1",5.62959679373307,7.01231188897509
"u.9.7.1",5.17640766862314,6.05206106905826
"u.6.5.1",5.43607767671347,6.01327298954129
"u.6.4",5.39303632220253,4.8158915489912
"u.6.3",5.3499949676916,3.61851010844112
"u.6.2",5.30695361318066,2.42112866789103
"u.6.1",5.26391225866973,1.22374722734094
"u.1.6",5.72303862737802,0.93509748345241
"u.1.5",4.59013325317452,1.10235273372382
"u.4.6",4.88596035245185,1.65693819096002
"u.4.5",4.23478017949188,2.57607488272091
"u.7.2",4.13146065198817,3.21705270558596
"u.7.3",4.60334388772026,4.23069254262373
