"","C","i8","i25","u.4.2","u.4.3","i6","i15","u.10.9","u.10.10","i40","i23","u.2.10","u.2.11","u.7.8","u.7.7","u.7.6","i24","i29","i3","i13","u.5.6","u.5.5","i34","i33","i21"
"C",0,5.91088704318009,15.7456404808991,14.0531957608231,26.2810940753861,32.5285704527169,28.5569753229465,31.7206265784384,42.6172945557676,51.3233303052394,40.5477327303884,38.140398024971,47.8661653556357,45.4536183547365,35.0815320186184,25.1476004301081,24.5826995798813,23.0801958458657,26.4182757800141,36.0225193126857,31.9355287922886,20.6049637387628,13.1762785077079,16.8790550885965,12.382437675057
"i8",6.47082673395487,0,10.1495041037884,8.23049446948345,21.0867161339624,27.7830827042113,24.505548079212,27.1907550649279,38.1103975605208,48.1170752111558,38.4921413054209,36.1097810858155,45.2061594068222,42.1255511168885,32.2774361681949,23.3689787039555,24.3709620480272,22.9636842877784,27.7387175524877,37.7227834804444,32.5684566933871,21.1321565701517,15.3783734445456,20.4775022396166,18.5819661101851
"i25",17.2372286296014,11.1109689647942,0,2.79713442899637,11.1529097822849,18.281743302343,16.2586347532668,18.0144319091116,28.7467022061696,40.4105187574498,32.9243185182855,30.7003107916656,38.4097127094468,34.3621038531876,25.745501472522,19.5425935410254,23.2061395742337,22.1719168976436,28.7578240238416,38.6343133969841,31.9962336216551,21.7296279319806,19.7036811237997,25.8867038242661,28.2526224824661
"u.4.2",15.3844582314521,9.01017110591713,2.55509015063406,0,13.5825362879789,20.7978313614532,18.7880119711435,20.5616558113974,31.2662920595599,42.937445443126,35.2096623232803,32.9542239516708,40.8592303819586,36.8880295067323,28.1335334083955,21.4305887594526,24.6017098313213,23.4690574691536,29.7423016859097,39.7257144159897,33.3643550012239,22.7044447474235,19.7238831858562,25.7443361348693,26.9479793049171
"u.4.3",28.7707081692256,23.0842656092361,12.2094274942816,14.8692130783607,0,7.49252590657828,8.40568171584617,7.8139177587016,17.8676830952812,31.0974520179443,26.6885525723926,24.882044155523,30.2598888644634,25.1870949000089,18.9473305619167,17.9058195212269,23.837424262846,23.4383010885874,30.7772892814949,39.528810356884,31.907275473778,24.5308554196928,28.6714247935267,35.4308457166334,38.4461882288971
"i6",35.6100094224659,30.4149805267412,20.013577055341,22.768014715702,8.20229461110664,0,6.74926340404819,1.88478995355747,10.4689455944399,23.9632434789907,21.7422956478051,20.3862465279495,23.8069457657115,18.2196754737055,14.2587718969192,19.3266872400236,26.4843556742849,26.5620802021356,34.3622527008363,38.8816180024741,31.0223735864912,28.6920952109073,32.7739479869308,39.1151220491638,44.0598051663403
"i15",31.2621841714632,26.8269642919566,17.7988189675241,20.5678046717218,9.20195388047036,6.1652297683476,0,4.40436715325667,14.3329013429654,24.1518876269638,18.2981318587463,16.4772560039951,22.4452841403245,18.1037198393371,10.5687163293427,12.6087218961177,19.7481956160185,19.8131578383779,27.6259547712612,32.9395364026423,25.1069133238666,21.9969988849467,26.6207499048601,32.7398596975224,38.5371728283174
"u.10.9",34.7255288389216,29.7665415537857,19.7209431922716,22.5094662014023,8.55413198739256,2.06333653989226,4.82159386793371,0,10.9268923909719,23.28761838046,20.1590530060067,18.7115710669506,22.7053461562279,17.4042630634634,12.5757485921126,17.3229076646848,24.4914368804049,24.608025951481,32.3670577436158,37.000120918144,29.1400303639014,26.8180984471734,31.202605935162,37.443075649754,42.7623581356662
"u.10.10",46.654440683056,41.7206042975897,31.4698839260248,34.2281551064445,19.5602928295134,11.460671221417,15.690660387802,11.9619994234416,0,16.1062719593047,20.2237222403427,20.0163540065897,18.2955637834562,11.7762268456431,16.6448137784717,25.9217441440857,32.7888832379752,33.3815812760309,40.3145093386228,46.3982337665031,38.0223590698322,36.2277806280901,42.0304415647125,47.8021899947334,54.2136213113786
"i40",56.1852012039237,52.6752168264328,44.2386165051816,47.004919537699,34.0433208088057,26.2332870520731,26.4398015036251,25.4936598323738,17.6320228110035,0,15.3833526662266,17.3186194503898,6.60321397785734,6.62293510121545,17.9464947784681,29.73761148964,34.3419304865111,35.6274000753981,39.9126133019922,41.7459023195951,34.9786889283562,39.1248436914791,47.3169660202381,51.3767061750157,60.6131593343867
"i23",44.3888287893747,38.4921413054209,36.0432467934197,38.5450817433366,29.2167653034841,23.8019483213937,20.0315181034664,22.0687247395444,22.1395201053413,14.052185863412,0,2.63538294564137,8.5022697295842,10.9442132847336,8.47813638018095,16.8597040357423,19.7663063345015,21.2293462823629,24.6379426619438,26.7253389041918,19.6111979247566,24.761354166701,33.541522217916,36.7808873602777,46.8698250577283
