"","x","y"
"C",5.01966509316117,3.73344938457012
"i8",5.19257672596723,3.18562969565392
"i25",5.84086291026324,2.44218725943938
"u.4.2",5.59853248414584,2.49640314490534
"u.4.3",6.75429333932698,1.85864714207128
"i15",7.41740105673671,2.33577316161245
"i6",7.47259493684396,1.73914144281298
"u.10.9",7.51136724190373,1.91816782785786
"u.10.10",8.42036900576204,1.36911948211491
"u.7.8",9.17370533104986,2.23071784712374
"i40",9.7594536235556,2.17971939593554
"u.2.11",9.56252518808469,2.73186554200947
"u.2.10",8.70029269182123,3.29420061316341
"i23",8.93262870144099,3.26667078072205
"u.7.7",8.31072060990014,2.84272209840959
"u.7.6",7.44773588875043,3.45472634969545
"i24",7.38223465159535,4.08860567724332
"i29",7.23499826621264,4.08524243859574
"i3",7.36076001310721,4.78766796179116
"i13",8.058237999212,5.47226545168087
"u.5.6",7.96451342857575,4.71370703341173
"u.5.5",6.9586420714456,4.23394974254604
"i34",6.151890642941,4.33169826399535
"i33",6.12952726660296,4.94141909759492
"i21",5.07701417431235,4.83122788835317
"C1",5.01966509316117,3.73344938457012
